image_page,level,chinese,english,code,confidence,malignant_primary,malignant_secondary,in_situ,benign,uncertain_or_unspecified
36,2,阿姆斯特丹侏儒症,Amsterdam dwarfism,Q87.1,0.9997261762619019,,,,,
36,2,阿诺肝硬变或病[原发性胆汁型肝硬变],Hanot's cirrhosis or disease,K74.3,0.986933708190918,,,,,
36,2,阿佩尔综合征[尖头并指畸形，尖头并趾畸形],Apert's syndrome,Q87.0,0.9739255309104919,,,,,
36,2,阿片瘾,Opiumism,F11.2,0.9997416138648987,,,,,
36,2,阿普加(评分),Apgar (score),,0.9992293119430542,,,,,
36,3,1分钟为0-3分，伴有窒息,"0-3 at 1 minute, with asphyxia",P21.0,0.9816470742225647,,,,,
36,3,1分钟为4-7分，伴有窒息,"4-7 at 1 minute, with asphyxia",P21.1,0.9844953417778015,,,,,
36,3,低NEC，伴有窒息,"low NEC, with asphyxia",P21.9,0.981444776058197,,,,,
37,2,阿萨姆热[黑热病],Assam fever,B55.0,0.9945370554924011,,,,,
37,2,阿绍夫小体(另见心肌炎，风湿性),"Aschoff's bodies (see also Myocarditis, rheumatic)",I09.0,0.9676098823547363,,,,,
37,2,阿斯金瘤(M8803/3)-见肿瘤，结缔组织，恶性,"Askin's tumor (M8803/3) - see Neoplasm, connective tissue, malignant",,0.9981435537338257,,,,,
37,2,阿斯曼病灶 NEC [肺尖结核浸润病灶],Assmann's focus NEC,A16.2,0.9685807824134827,,,,,
37,2,阿斯珀格病或综合征,Asperger's disease or syndrome,F84.5,0.9972742795944214,,,,,
37,2,阿图斯 - 现译名阿蒂斯,Arthus,,0.9291405081748962,,,,,
37,2,阿韦利斯综合征[椎动脉闭塞],Avellis' syndrome,I65.0+ G46.8*,0.9683793783187866,,,,,
37,2,阿孝夫-现译名阿绍夫,Aschoff,,0.9996606707572937,,,,,
37,1,āi 埃,,,0.9584876298904419,,,,,
37,2,埃-当综合征[埃勒斯-当洛(斯)综合征][皮肤弹性过度综合征],Ehlers-Danlos syndrome,Q79.6,0.9800528287887573,,,,,
37,2,埃(-迪)麻痹-现译名 厄尔布麻痹,Erb(-Duchenne) paralysis,,0.9712366461753845,,,,,
37,2,埃-范综合征[埃利斯-范克勒韦德][软骨外胚层发育不良],Ellis-van Creveld syndrome,Q77.6,0.9722719192504883,,,,,
37,2,埃-戈病或综合征[埃尔布-戈尔德弗拉姆][重症肌无力],Erb-Goldflam disease or syndrome,G70.0,0.940045952796936,,,,,
37,2,埃贝特病(伤寒),Eberth's disease (typhoid fever),A01.0,0.9897904396057129,,,,,
37,2,埃博拉病毒病,Ebola virus disease,A98.4,0.9998487234115601,,,,,
37,2,埃布斯坦- 曾译名 埃布施泰因,Ebstein's,,0.9460751414299011,,,,,
37,3,病(糖尿病性肾小管变性),disease (renal tubular degeneration in diabetes),E14.2+ N16.3*,0.9315477013587952,,,,,
37,3,异常或综合征(心脏),anomaly or syndrome (heart),Q22.5,0.9866376519203186,,,,,
37,2,埃迪(-霍姆斯)瞳孔或综合征[病理性瞳孔反应症候群],Adie(-Holmes) pupil or syndrome,H57.0,0.9552515745162964,,,,,
37,2,埃多斯(-施普尔伟)综合征[成骨不全伴有蓝巩膜],Eddowes(-Spurway) syndrome,Q78.0,0.999774694442749,,,,,
37,2,埃尔布 - 现译名 厄尔布,Erb's,,0.9126999974250793,,,,,
37,2,埃尔托霍乱,Eltor cholera,A00.1,0.9893693923950195,,,,,
37,2,埃及巨脾病,Egyptian splenomegaly,B65.1,0.9631504416465759,,,,,
37,2,埃科诺莫病[昏睡性脑病],Economo's disease,A85.8,0.9978422522544861,,,,,
37,2,埃克博姆综合征(多动腿),Ekbom's syndrome (restless legs),G25.8,0.9769982695579529,,,,,
37,2,埃利森-佐林格综合征,Ellison-Zollinger syndrome,E16.4,0.9993041753768921,,,,,
37,2,埃文斯综合征[特发性血小板减少性紫癜],Evan's syndrome,D69.3,0.9964127540588379,,,,,
38,1,ái 癌,,,,,,,,
38,2,癌(M8010/3)-另见肿瘤，恶性,"Carcinoma (M8010/3) - see also Neoplasm, malignant",,0.9797066450119019,,,,,
38,2,注：除在其他处另有说明外，列在下面的癌的形态学类型应按部位以“肿瘤，恶性”进行编码。,"Note: Except where otherwise indicated, the morphological varieties of carcinoma in the list below should be coded by site as for Neoplasm, malignant.",,0.9990001320838928,,,,,
38,3,C细胞(M8510/3),C cell (M8510/3),,0.9547542929649353,,,,,
38,4,特指部位-见肿瘤，恶性,"specified site - see Neoplasm, malignant",,0.9685067534446716,,,,,
38,4,未特指部位,unspecified site,C73,0.9859393835067749,,,,,
38,3,伴有,with,,0.9723058938980103,,,,,
38,4,顶泌性汗腺化生(M8573/3),apocrine metaplasia (M8573/3),,0.9905788898468018,,,,,
38,4,骨(和软骨)化生(M8571/3),osseous (and cartilaginous) metaplasia (M8571/3),,0.9793228507041931,,,,,
38,4,鳞状(上皮)化生(M8570/3),squamous metaplasia (M8570/3),,0.9824314117431641,,,,,
38,4,软骨(和骨)化生(M8571/3),cartilaginous (and osseous) metaplasia (M8571/3),,0.9873563051223755,,,,,
38,4,梭形细胞化生(M8572/3),spindle cell metaplasia (M8572/3),,0.9846822023391724,,,,,
38,4,纤维化(M8141/3),productive fibrosis (M8141/3),,0.9955301284790039,,,,,
38,3,表面扩散性(M8143/3),superficial spreading (M8143/3),,0.9883947372436523,,,,,
38,3,表皮内(M8070/2)-见肿瘤，原位,"intraepidermal (M8070/2) - see Neoplasm, in situ",,0.9806380271911621,,,,,
38,4,鳞状细胞，鲍恩型(M8081/2)-见 肿瘤，皮肤，原位,"squamous cell, Bowen's type (M8081/2) - see Neoplasm, skin, in situ",,0.9749938249588013,,,,,
38,3,表皮样(M8070/3)-另见癌，鳞状细胞,"epidermoid (M8070/3) - see also Carcinoma, squamous cell",,0.9780142903327942,,,,,
38,4,伴有腺癌，联合性(M8560/3),"with adenocarcinoma, mixed (M8560/3)",,0.9924331307411194,,,,,
38,4,大细胞，非角化的(M8072/3),"large cell, nonkeratinizing (M8072/3)",,0.9833080768585205,,,,,
38,4,角化的(M8071/3),keratinizing (M8071/3),,0.9810528755187988,,,,,
38,4,梭形细胞(M8074/3),spindle cell (M8074/3),,0.9766330718994141,,,,,
38,4,小细胞，非角化的(M8073/3),"small cell, nonkeratinizing (M8073/3)",,0.9907608032226562,,,,,
38,4,疣状(M8051/3),verrucous (M8051/3),,0.9808464050292969,,,,,
38,4,原位，鲍恩型(M8081/2)-见肿瘤，皮肤，原位,"in situ, Bowen's type (M8081/2) - see Neoplasm, skin, in situ",,0.974888026714325,,,,,
38,3,产粘液性(M8481/3),mucin-producing (M8481/3),,0.972972571849823,,,,,
38,3,肠型(M8144/3),intestinal type (M8144/3),,0.9983624815940857,,,,,
38,4,特指部位-见肿瘤，恶性,"specified site - see Neoplasm, malignant",,0.9778206944465637,,,,,
38,4,未特指部位,unspecified site,C16.9,0.9813222885131836,,,,,
38,3,成釉细胞(M9270/3),ameloblastic (M9270/3),C41.1,0.9678804278373718,,,,,
38,4,上颌(骨),upper jaw (bone),C41.0,0.9793899655342102,,,,,
38,3,储备细胞(M8041/3),reserve cell (M8041/3),,0.9755414724349976,,,,,
38,3,大细胞(M8012/3),large cell (M8012/3),,0.992946982383728,,,,,
38,4,鳞状细胞(M8070/3),squamous cell (M8070/3),,0.9891242384910583,,,,,
38,5,非角化的(M8072/3),nonkeratinizing (M8072/3),,0.9928789734840393,,,,,
38,5,角化的(M8071/3),keratinizing (M8071/3),,0.9712606072425842,,,,,
38,4,小细胞(M8045/3),small cell (M8045/3),,0.9640365839004517,,,,,
38,5,特指部位-见肿瘤，恶性,"specified site - see Neoplasm, malignant",,0.962198793888092,,,,,
38,5,未特指部位,unspecified site,C34.9,0.9907203316688538,,,,,
39,3,单纯(M8231/3),simplex (M8231/3),,0.9729886651039124,,,,,
39,3,胆管(M8160/3),bile duct (M8160/3),,0.9735169410705566,,,,,
39,4,伴有肝细胞癌，联合性(M8180/3),"with hepatocellular, mixed (M8180/3)",C22.0,0.9910034537315369,,,,,
39,4,肝,liver,C22.1,0.9003478288650513,,,,,
39,4,特指部位NEC-见肿瘤，恶性,"specified site NEC - see Neoplasm, malignant",,0.9746357202529907,,,,,
39,4,未特指部位,unspecified site,C22.1,0.9575927257537842,,,,,
39,3,导管(细胞)(M8500/3),duct (cell) (M8500/3),,0.985622763633728,,,,,
39,4,伴有佩吉特病[乳腺导管内癌](M8541/3)-见肿瘤，乳房，恶性,"with Paget's disease (M8541/3) - see Neoplasm, breast, malignant",,0.9803540110588074,,,,,
39,4,浸润性(M8500/3),infiltrating (M8500/3),,0.9730930328369141,,,,,
39,5,伴有小叶性(原位)癌(M8522/3),with lobular carcinoma (in situ) (M8522/3),,0.980934202671051,,,,,
39,6,特指部位-见肿瘤，恶性,"specified site - see Neoplasm, malignant",,0.9526316523551941,,,,,
39,6,未特指部位,unspecified site,C50.9,0.9770733714103699,,,,,
39,5,特指部位-见肿瘤，恶性,"specified site - see Neoplasm, malignant",,0.9685232043266296,,,,,
39,5,未特指部位(女性),unspecified site (female),C50.9,0.9601133465766907,,,,,
39,3,导管内(非浸润性)(M8500/2),intraductal (noninfiltrating) (M8500/2),,0.9799938201904297,,,,,
39,4,伴有佩吉特病[乳腺导管内癌](M8543/3)-见肿瘤，乳房，恶性,"with Paget's disease (M8543/3) - see Neoplasm, breast, malignant",,0.9699090123176575,,,,,
39,4,乳房,breast,D05.1,0.9546622037887573,,,,,
39,4,乳头状(M8503/2),papillary (M8503/2),,0.9409849047660828,,,,,
39,5,伴有侵袭(M8503/3),with invasion (M8503/3),,0.967355489730835,,,,,
39,6,特指部位- 见 肿瘤，恶性,"specified site - see Neoplasm, malignant",,0.9092921614646912,,,,,
39,6,未特指部位,unspecified site,C50.9,0.9823451638221741,,,,,
39,5,乳房,breast,D05.1,0.960282027721405,,,,,
39,5,特指部位 NEC-见肿瘤，原位,"specified site NEC - see Neoplasm, in situ",,0.971110999584198,,,,,
39,5,未特指部位,unspecified site,D05.1,0.9440818428993225,,,,,
39,4,特指部位NEC -见 肿瘤，原位,"specified site NEC - see Neoplasm, in situ",,0.9383179545402527,,,,,
39,4,未特指部位,unspecified site,D05.1,0.9820215106010437,,,,,
39,3,导管性(M8500/3),ductal (M8500/3),,0.9625087976455688,,,,,
39,4,伴有小叶性(M8522/3),with lobular (M8522/3),,0.9785017967224121,,,,,
39,5,特指部位-见肿瘤，恶性,"—specified site - see Neoplasm, malignant",,0.9700363874435425,,,,,
39,5,未特指部位,unspecified site,C50.9,0.9771872162818909,,,,,
39,3,耵聍(M8420/3),ceruminous (M8420/3),C44.2,0.9903140068054199,,,,,
39,3,顶泌性(M8401/3),apocrine (M8401/3),,0.9618465304374695,,,,,
39,4,乳房-见肿瘤，乳房，恶性,"breast - see Neoplasm, breast, malignant",,0.9722428321838379,,,,,
39,4,特指部位NEC-见肿瘤，皮肤，恶性,"specified site NEC - see Neoplasm, skin, malignant",,0.9723535180091858,,,,,
39,4,未特指部位,unspecified site,C44.9,0.9707799553871155,,,,,
39,3,多角细胞(M8034/3),polygonal cell (M8034/3),,0.9834509491920471,,,,,
39,3,多形性(M8022/3),pleomorphic (M8022/3),,0.9677501320838928,,,,,
40,3,非浸润性(M8010/2),noninfiltrating (M8010/2),,0.9677613377571106,,,,,
40,4,导管内(M8500/2),intraductal (M8500/2),,0.9761983156204224,,,,,
40,5,乳房,breast,D05.1,0.888340950012207,,,,,
40,4,乳头状(M8503/2),papillary (M8503/2),,0.988770067691803,,,,,
40,5,乳房,breast,D05.1,0.9079756736755371,,,,,
40,4,特指部位NEC-见肿瘤，原位,"specified site NEC - see Neoplasm, in situ",,0.9682693481445312,,,,,
40,5,未特指部位,unspecified site,D05.1,0.9534260034561157,,,,,
40,4,特指部位-见肿瘤，原位,"specified site - see Neoplasm, in situ",,0.9671565294265747,,,,,
40,4,未特指部位,unspecified site,D05.1,0.9760318398475647,,,,,
40,4,囊内(M8504/2)-见肿瘤，原位,"intracystic (M8504/2) - see Neoplasm, in situ",,0.9619528651237488,,,,,
40,4,小叶性(M8520/2),lobular (M8520/2),,0.9739668965339661,,,,,
40,5,乳房,breast,D05.0,0.8828389644622803,,,,,
40,5,特指部位NEC-见肿瘤，原位,"specified site NEC - see Neoplasm, in situ",,0.9648604393005371,,,,,
40,5,未特指部位,unspecified site,D05.0,0.9872205853462219,,,,,
40,3,肺泡(M8251/3)-见肿瘤，肺，恶性,"alveolar (M8251/3) - see Neoplasm, lung, malignant",,0.9774173498153687,,,,,
40,4,细胞(M8250/3)-见肿瘤，肺，恶性,"cell (M8250/3) - see Neoplasm, lung, malignant",,0.9919783473014832,,,,,
40,3,分泌粘液性(M8481/3),mucin-secreting (M8481/3),,0.967178463935852,,,,,
40,3,分泌性，乳房(M8502/3)-见肿瘤，乳房，恶性,"secretory, breast (M8502/3) - see Neoplasm, breast, malignant",,0.9964145421981812,,,,,
40,3,"附属器(皮肤)(M8390/3)-见肿瘤，皮肤,恶性","adnexal (skin) (M8390/3) - see Neoplasm, skin, malignant",,0.9625997543334961,,,,,
40,3,富糖原(M8315/3)-见肿瘤，乳房，恶性,"glycogen-rich (M8315/3) - see Neoplasm, breast, malignant",,0.9806405901908875,,,,,
40,3,富脂质(M8314/3),lipid-rich (M8314/3),C50.9,0.9692296385765076,,,,,
40,3,肝胆小管性(M8180/3),hepatocholangiolitic (M8180/3),C22.0,0.9782532453536987,,,,,
40,3,肝细胞(性)(M8170/3),"hepatic cell, hepatocellular, liver cell (M8170/3)",C22.0,0.9839712381362915,,,,,
40,4,伴有胆管癌，联合性(M8180/3),"with bile duct, mixed (M8180/3)",C22.0,0.995759904384613,,,,,
40,4,纤维板状(M8171/3),fibrolamellar (M8171/3),C22.0,0.95994633436203,,,,,
40,3,睾丸间质细胞[莱迪希细胞](睾丸)(M8650/3),Leydig cell (testis) (M8650/3),,0.9905785918235779,,,,,
40,4,特指部位-见肿瘤，恶性,"specified site - see Neoplasm, malignant",,0.9833067655563354,,,,,
40,4,未特指部位,unspecified site.,,0.8954216837882996,,,,,
40,5,男性,male,C62.9,0.9575946927070618,,,,,
40,5,女性,female,C56,0.9148295521736145,,,,,
40,3,骨内性(M9270/3),intraosseous (M9270/3),C41.1,0.9798872470855713,,,,,
40,4,上颌(骨),upper jaw (bone),C41.0,0.956203281879425,,,,,
40,3,管状(M8211/3),tubular (M8211/3),,0.9649998545646667,,,,,
40,3,汗腺(M8400/3)-见肿瘤，皮肤，恶性,"sweat gland (M8400/3) - see Neoplasm, skin, malignant",,0.9851238131523132,,,,,
40,3,呼吸细支气管(M8250/3)-见肿瘤，肺，恶性,"bronchioloalveolar (M8250/3) - see Neoplasm, lung, malignant",,0.9796828627586365,,,,,
40,3,肌上皮-上皮(M8562/3),myoepithelial-epithelial (M8562/3),,0.988023042678833,,,,,
40,3,基底-鳞状细胞，混合性(M8094/3)-见肿瘤，皮肤，恶性,"basal-squamous cell, basosquamous, mixed (M8094/3) - see Neoplasm, skin, malignant",,0.9786882400512695,,,,,
41,3,基底细胞(色素沉着的)(M8090/3)-另见肿瘤，皮肤，恶性,"basal cell (pigmented) (M8090/3) - see also Neoplasm, skin, malignant",,0.9795432090759277,,,,,
41,4,多中心性(M8091/3)-见肿瘤，皮肤，恶性,"multicentric (M8091/3) - see Neoplasm, skin, malignant",,0.985913097858429,,,,,
41,4,纤维上皮(M8093/3)-见肿瘤，皮肤，恶性,"fibro-epithelial (M8093/3) - see Neoplasm, skin, malignant",,0.9664934873580933,,,,,
41,4,硬斑性(M8092/3)-见 肿瘤，皮肤，恶性,"morphea (M8092/3) - see Neoplasm, skin, malignant",,0.9690029621124268,,,,,
41,3,基底细胞样(M8123/3),basaloid (M8123/3),,0.9890535473823547,,,,,
41,3,棘细胞(M8070/3),spinous cell (M8070/3),,0.9685326218605042,,,,,
41,3,继发性(M8010/6)- 见 肿瘤，继发性,"secondary (M8010/6) - see Neoplasm, secondary",,0.9607242345809937,,,,,
41,3,假粘液性(M8470/3),pseudomucinous (M8470/3),,0.9729363322257996,,,,,
41,4,特指部位-见肿瘤，恶性,"specified site - see Neoplasm, malignant",,0.9797146320343018,,,,,
41,4,未特指部位,unspecified site,C56,0.9544315338134766,,,,,
41,3,假肉瘤性(M8033/3),pseudosarcomatous (M8033/3),,0.9850464463233948,,,,,
41,3,假腺样，鳞状细胞(M8075/3),"pseudoglandular, squamous cell (M8075/3)",,0.993397057056427,,,,,
41,3,间变型(M8021/3),anaplastic type (M8021/3),,0.9892577528953552,,,,,
